"artifact"	"consumer"	"check"
"base:DATA_DIR"	"docs/design/monitor-api-router-inventory.md"	"doc-only: historical, provenance, or human guidance; runnable K paths are reviewed in notes-P2.md"
"base:DATA_DIR"	"scripts/generate_mdx/generate_ipa.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:DATA_DIR"	"scripts/rag/config.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:DATA_DIR"	"scripts/rag/prepare_antonenko.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:DATA_DIR"	"scripts/rag/prepare_grinchenko.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:DATA_DIR"	"scripts/rag/scrape_wikisource.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:DATA_DIR"	"scripts/storage/consumers.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:DATA_DIR"	"tests/projects/open_model_data/test_real_training_run_8338.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:DATA_DIR"	"tests/projects/open_model_data/test_v5_dialect_historical_protection.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:DATA_DIR"	"tests/test_coverage_misc.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:DATA_ROOT"	"scripts/analytics/vocab_progression.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:DATA_ROOT"	"scripts/audit/source_inventory_review_decisions.py"	"tests.test_source_inventory_review_decisions::test_committed_decision_validation_reuses_shared_source_index"
"base:DATA_ROOT"	"scripts/storage/consumers.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:DATA_ROOT"	"scripts/storage/paths.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:DATA_ROOT"	"tests/conftest.py"	"logical-id: frozen classification, untracked host state, or unchanged synthetic sparse tree name"
"base:DATA_ROOT"	"tests/storage/test_consumers.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:DATA_ROOT"	"tests/storage/test_needs_artifact_hook.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:LEXICON_DATA_DIR"	"scripts/storage/consumers.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:artifact_path"	"scripts/audit/generate_practice_deck.py"	"tests.test_generate_practice_deck::test_a2_classify_items_do_not_raise_english_labels"
"base:artifact_path"	"scripts/audit/layerb_label_scaffold.py"	"tests.test_layerb_label_tools::test_adversarial_corpus_select_all_scaffolds_all_cases_without_proposed_labels"
"base:artifact_path"	"scripts/audit/llm_qg_shadow_store.py"	"tests.audit.test_qg_shadow_run::test_artifact_survival_probe_passes_then_fails_on_loss_and_drift"
"base:artifact_path"	"scripts/audit/qg_bakeoff.py"	"tests.audit.test_qg_bakeoff::test_arm_bare_after_tooled_scorecard_keeps_both_arms"
"base:artifact_path"	"scripts/audit/qg_shadow_run.py"	"tests.audit.test_qg_shadow_run::test_artifact_survival_probe_passes_then_fails_on_loss_and_drift"
"base:artifact_path"	"scripts/audit/source_inventory_review_decisions.py"	"tests.test_source_inventory_review_decisions::test_committed_decision_validation_reuses_shared_source_index"
"base:artifact_path"	"scripts/build/convergence_loop.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
"base:artifact_path"	"scripts/build/linear_pipeline.py"	"logical-id: generic base symbol in unchanged code does not resolve a P2 path"
